"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jun/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","05/05/2019","10","745.9365","2244.2957","16.0826","1983.0854","18270.9647","354.8489","595.6431","1450.7496","525.9607","3752.6866","1904.5894"
"SEN","05/05/2019","11","846.7601","2576.3147","20.5035","2183.6082","18417.305","357.0422","595.7071","1274.9747","475.7789","3927.4427","1893.2913"
"SEN","05/05/2019","12","951.5348","2646.2658","17.1212","2201.8687","18393.4628","355.4804","597.2013","1769.9233","474.797","3968.4","1876.9392"
"SEN","05/05/2019","13","1086.5147","2640.1294","21.0273","2366.9553","18449.1031","356.5342","594.333","1853.8171","484.0784","3976.3099","1843.8358"
"SEN","05/05/2019","14","1309.0954","2656.4629","16.9478","2415.079","18754.0105","359.4597","593.7435","1593.4044","483.2826","4047.5516","1809.4677"
"SEN","05/05/2019","15","1441.887","2572.5998","21.3075","2418.6398","18579.6267","354.0554","598.5059","1846.0605","569.701","4069.5731","1804.3635"
"SEN","05/05/2019","16","1732.6676","2462.6587","10.5504","2426.1625","18802.8143","354.8902","598.8345","1610.8604","695.8845","4104.5139","1779.2884"
"SEN","05/05/2019","17","1930.7112","2383.095","12.4106","2407.8812","18782.9412","356.7528","597.1855","1573.2812","733.9741","4267.8618","1744.5891"
"SEN","05/05/2019","18","1918.7071","2139.2946","15.4689","2440.6325","18911.9436","362.7236","598.0027","1553.8225","748.127","4338.9532","1770.0391"
"SEN","05/05/2019","19","2004.1675","1731.5053","20.1676","2409.6789","19351.1433","366.6969","597.0909","1432.4789","756.1683","4325.5372","1787.6838"
"SEN","05/05/2019","20","1972.3398","945.5091","17.4655","2431.7397","19627.1002","368.0399","598.2592","2015.9661","762.1967","4397.8894","1808.9625"
"SEN","05/05/2019","21","1742.1586","118.7079","21.2296","2413.5881","20598.6333","371.7098","597.5895","3334.2521","765.3527","5404.9344","1875.972"
"SEN","05/05/2019","22","1565.7965","0.001","18.3658","2435.1271","20990.884","373.5029","598.6852","4080.7821","766.2477","5640.6796","1924.9353"
