"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/may/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","06/04/2019","3","1260.5636","0","0.977","2454.8868","19049.848","387.5676","574.0308","1470.3045","1397.4381","4769.0197","1466.8123"
"SEN","06/04/2019","4","1359.8102","0","0.977","2449.3191","18934.3206","383.9611","575.5469","1299.3155","1397.5141","4415.2488","1436.7793"
"SEN","06/04/2019","5","1479.1025","0","0.977","2461.1915","19075.7782","382.1466","576.2731","1014.3559","1397.308","4197.2201","1432.3854"
"SEN","06/04/2019","6","1413.4837","0","0.977","2438.047","19518.6159","369.0869","574.135","1065.5617","1396.711","3895.0687","1430.1687"
"SEN","06/04/2019","7","1381.8721","20.4392","0.977","2425.4934","19464.6132","364.5209","574.8613","1242.6655","1395.2671","3820.8139","1430.2848"
"SEN","06/04/2019","8","1226.4596","674.2909","0.977","2432.0882","19489.6475","368.4582","572.6914","1398.3219","1393.6002","3857.8146","1450.9726"
"SEN","06/04/2019","9","1162.6921","1813.0138","0.977","2374.0177","18958.4227","370.3642","568.762","2477.6778","1393.1035","3815.5473","1447.2451"
"SEN","06/04/2019","10","1336.461","2324.4301","0.967","2423.0989","18708.8076","358.4478","565.0376","3469.9848","1391.9557","3748.6103","1417.3163"
"SEN","06/04/2019","11","1420.7966","2463.3598","0.965","2316.6162","18874.8552","349.92","565.957","4169.9994","1391.3466","3770.8116","1449.1133"
"SEN","06/04/2019","12","1437.9808","2562.8452","0.965","2572.6957","18897.2928","359.7798","566.9354","4134.1317","1390.3828","3728.4008","1528.3578"
"SEN","06/04/2019","13","1558.5544","2584.1824","0.965","2691.2641","19282.0828","365.3181","566.6422","4040.4509","1390.2353","3738.6957","1558.8603"
"SEN","06/04/2019","14","1653.4853","2546.9245","0.965","2765.8705","19317.4828","367.745","566.9964","3697.0108","1389.8203","3750.9245","1559.9775"
"SEN","06/04/2019","15","1764.8232","2641.0149","0.965","2772.9242","19347.8178","383.2503","566.3704","3284.1717","1388.4346","3494.8114","1514.1933"
