"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/dic/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","10/11/2019","14","2702.509","2914.0035","2.8166","1314.929","15683.5335","381.3327","499.8037","1299.9644","1551.9391","3365.757","1183.8245"
"SEN","10/11/2019","15","2718.7423","2770.8206","2.8166","1295.4495","15725.8789","330.5447","499.7627","1524.9834","1551.3157","3362.5209","1194.2239"
"SEN","10/11/2019","16","2683.9663","2403.5848","2.8166","1269.1936","15930.7313","326.0644","499.4382","1666.4434","1550.9277","3405.4458","1196.0944"
"SEN","10/11/2019","17","2718.47","1754.0754","2.8167","1268.4854","16641.8743","307.1868","501.4275","1491.8287","1550.3355","3503.2907","1218.8512"
"SEN","10/11/2019","18","2619.398","452.0786","2.8167","1277.5501","18431.9673","346.5759","501.611","2056.6981","1550.8633","3656.2965","1233.5783"
"SEN","10/11/2019","19","2618.0063","2.9596","2.8166","1523.9904","19986.0841","363.0862","501.7404","2266.2295","1551.073","4179.2011","1472.0918"
"SEN","10/11/2019","20","2789.4867","0.1332","2.8159","1573.2047","20059.1765","364.2829","503.9148","2442.0633","1550.715","4561.4388","1544.5759"
"SEN","10/11/2019","21","3090.2683","0.093","2.8165","1564.1667","19633.0305","364.178","503.9602","2919.4992","1550.38","4530.9807","1303.6929"
"SEN","10/11/2019","22","3192.2397","0.093","2.8164","1382.5288","19523.5929","365.9661","504.6259","2516.8342","1550.7477","4160.9849","1240.1314"
"SEN","10/11/2019","23","3139.5131","0.093","2.8164","1294.6495","18910.4563","366.0024","504.6693","1999.6744","1550.7005","3929.4233","1242.7738"
"SEN","10/11/2019","24","3144.3532","0.093","2.8163","1304.7485","17892.6623","366.0823","503.5738","1566.7644","1550.429","3619.9769","1221.5138"
"SEN","11/11/2019","1","2953.3997","0.1558","2.8163","1297.1485","17120.034","370.0917","506.6085","1069.0797","1549.9848","3260.9296","1213.3835"
"SEN","11/11/2019","2","2831.2378","0.1257","2.8162","1314.4435","16417.6633","369.6303","507.6274","962.333","1550.1441","3243.8961","1200.3546"
