"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2021"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/dic/2021 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/11/2021","1","3028.4725","0.0598","1.6505","697.8587","18867.8676","219.793","468.0528","3568.754","765.8599","1724.7918","1408.6391"
"SEN","01/11/2021","2","3013.5437","0.0416","1.6551","695.1288","18108.4554","220.5704","467.6941","3443.2972","766.7423","1739.2133","1376.6613"
"SEN","01/11/2021","3","2902.7195","0","1.6519","696.8753","17546.9313","221.2565","467.3587","3292.998","766.784","1737.2857","1270.2922"
"SEN","01/11/2021","4","2867.5784","0","1.652","708.0808","17154.9217","221.0952","467.8978","3298.1914","766.411","1730.4544","1264.4781"
"SEN","01/11/2021","5","2757.8662","0","1.6526","752.6533","17236.9244","221.1133","468.4456","3167.2893","766.5885","1726.7014","1257.6795"
"SEN","01/11/2021","6","2749.0442","0.0015","1.6537","796.2107","17622.3873","221.1685","469.3697","3601.4078","766.5057","1728.908","1252.225"
"SEN","01/11/2021","7","2665.278","9.547","1.6643","869.6385","18337.62","221.4085","463.3935","3675.8754","766.4976","1723.7118","1257.9102"
"SEN","01/11/2021","8","2647.4325","837.8912","1.6627","883.7781","18512.7577","210.2385","448.4999","4035.7923","766.8299","1734.5522","1306.9445"
"SEN","01/11/2021","9","2540.6189","3229.6884","1.6601","906.3672","18550.0389","201.5148","447.2704","3559.7863","766.5186","1725.6886","1311.6079"
"SEN","01/11/2021","10","2972.4226","5076.2608","1.6576","902.2922","17782.0855","201.2725","446.9141","3493.9635","766.3919","1743.7138","1329.6766"
"SEN","01/11/2021","11","3334.1704","5773.4304","2.1549","884.3261","17556.2456","199.4736","447.2537","3536.2667","766.1398","1763.0867","1433.1999"
"SEN","01/11/2021","12","3371.9069","5821.244","1.3051","789.637","17464.9612","198.8368","450.5387","4128.0314","765.4485","1798.6171","1432.071"
"SEN","01/11/2021","13","3451.4026","5796.0841","1.1581","741.1461","17917.351","198.5037","450.1417","4304.8799","764.1356","1828.812","1432.8521"
